GM,Hour
FEBAGH,100
MARAGH,100
APRAGH,200
MAYAGH,200
JUNAGH,200
JULAGH,200
AUGAGH,200
SEPAGH,200
OCTAGH,200
NOVAGH,100
DECAGH,100
JANAGJ,900
FEBAGJ,900
MARAGJ,900
APRAGJ,900
MAYAGJ,900
JUNAGJ,900
JULAGJ,900
AUGAGJ,900
SEPAGJ,900
OCTAGJ,900
NOVAGJ,900
DECAGJ,900
JANAGL,1000
FEBAGL,1000
MARAGL,1000
APRAGL,1000
MAYAGL,1000
JUNAGL,1000
JULAGL,1000
AUGAGL,1000
SEPAGL,1000
OCTAGL,1000
NOVAGL,1000
DECAGL,1000
JANAGM,-300
FEBAGM,-300
MARAGM,-300
APRAGM,-300
MAYAGM,-200
JUNAGM,-200
JULAGM,-200
AUGAGM,-200
SEPAGM,-200
OCTAGM,-200
NOVAGM,-300
DECAGM,-300
JANAGN,-800
FEBAGN,-800
MARAGN,-800
APRAGN,-800
MAYAGN,-800
JUNAGN,-800
JULAGN,-800
AUGAGN,-800
SEPAGN,-800
OCTAGN,-800
NOVAGN,-800
DECAGN,-800
JANAGP,100
FEBAGP,100
MARAGP,100
APRAGP,200
MAYAGP,200
JUNAGP,200
JULAGP,200
AUGAGP,200
SEPAGP,200
OCTAGP,200
NOVAGP,100
DECAGP,100
JANAGR,530
FEBAGR,530
MARAGR,530
APRAGR,530
MAYAGR,530
JUNAGR,530
JULAGR,530
AUGAGR,530
SEPAGR,530
OCTAGR,530
NOVAGR,530
DECAGR,530
JANAGS,-500
FEBAGS,-500
MARAGS,-400
APRAGS,-400
MAYAGS,-400
JUNAGS,-400
JULAGS,-400
AUGAGS,-400
SEPAGS,-400
OCTAGS,-400
NOVAGS,-500
DECAGS,-500
JANAGT,-300
FEBAGT,-300
MARAGT,-300
APRAGT,-400
MAYAGT,-400
JUNAGT,-400
JULAGT,-400
AUGAGT,-400
SEPAGT,-400
OCTAGT,-300
NOVAGT,-300
DECAGT,-300
JANAGU,-600
FEBAGU,-600
MARAGU,-600
APRAGU,-500
MAYAGU,-500
JUNAGU,-500
JULAGU,-500
AUGAGU,-500
SEPAGU,-500
OCTAGU,-500
NOVAGU,-600
DECAGU,-600
JANAGV,-430
FEBAGV,-430
MARAGV,-430
APRAGV,-430
MAYAGV,-430
JUNAGV,-430
JULAGV,-430
AUGAGV,-430
SEPAGV,-430
OCTAGV,-430
NOVAGV,-430
DECAGV,-430
JANAGX,530
FEBAGX,530
MARAGX,530
APRAGX,530
MAYAGX,530
JUNAGX,530
JULAGX,530
AUGAGX,530
SEPAGX,530
OCTAGX,530
NOVAGX,530
DECAGX,530
JANAHB,300
FEBAHB,300
MARAHB,300
APRAHB,300
MAYAHB,300
JUNAHB,300
JULAHB,300
AUGAHB,300
SEPAHB,300
OCTAHB,300
NOVAHB,300
DECAHB,300
JANAHE,-1000
FEBAHE,-1000
MARAHE,-1000
APRAHE,-1000
MAYAHE,-1000
JUNAHE,-1000
JULAHE,-1000
AUGAHE,-1000
SEPAHE,-1000
OCTAHE,-1000
NOVAHE,-1000
DECAHE,-1000
JANAHJ,800
FEBAHJ,800
MARAHJ,800
APRAHJ,800
MAYAHJ,800
JUNAHJ,800
JULAHJ,800
AUGAHJ,800
SEPAHJ,800
OCTAHJ,800
NOVAHJ,800
DECAHJ,800
JANAHN,-400
FEBAHN,-400
MARAHN,-400
APRAHN,-400
MAYAHN,-400
JUNAHN,-400
JULAHN,-400
AUGAHN,-400
SEPAHN,-400
OCTAHN,-400
NOVAHN,-400
DECAHN,-400
JANAHO,100
FEBAHO,100
MARAHO,100
APRAHO,100
MAYAHO,200
JUNAHO,200
JULAHO,200
AUGAHO,200
SEPAHO,200
OCTAHO,200
NOVAHO,100
DECAHO,100
JANAHS,-600
FEBAHS,-600
MARAHS,-600
APRAHS,-600
MAYAHS,-600
JUNAHS,-600
JULAHS,-600
AUGAHS,-600
SEPAHS,-600
OCTAHS,-600
NOVAHS,-600
DECAHS,-600
JANAHU,0
FEBAHU,0
MARAHU,0
APRAHU,0
MAYAHU,100
JUNAHU,100
JULAHU,100
AUGAHU,100
SEPAHU,100
OCTAHU,100
NOVAHU,0
DECAHU,0
JANAIA,-700
FEBAIA,-700
MARAIA,-600
APRAIA,-600
MAYAIA,-600
JUNAIA,-600
JULAIA,-600
AUGAIA,-600
SEPAIA,-600
OCTAIA,-600
NOVAIA,-700
DECAIA,-700
JANAIC,1200
FEBAIC,1200
MARAIC,1200
APRAIC,1200
MAYAIC,1200
JUNAIC,1200
JULAIC,1200
AUGAIC,1200
SEPAIC,1200
OCTAIC,1200
NOVAIC,1200
DECAIC,1200
JANAIL,-500
FEBAIL,-500
MARAIL,-500
APRAIL,-500
MAYAIL,-500
JUNAIL,-500
JULAIL,-500
AUGAIL,-500
SEPAIL,-500
OCTAIL,-500
NOVAIL,-500
DECAIL,-500
JUNAIM,1200
JULAIM,1200
AUGAIM,1200
JANAIN,-800
FEBAIN,-800
MARAIN,-800
APRAIN,-800
MAYAIN,-800
JUNAIN,-800
JULAIN,-800
AUGAIN,-800
SEPAIN,-800
OCTAIN,-800
NOVAIN,-800
DECAIN,-800
JANAIT,-1000
FEBAIT,-1000
MARAIT,-1000
APRAIT,-1000
MAYAIT,-1000
JUNAIT,-1000
JULAIT,-1000
AUGAIT,-1000
SEPAIT,-1000
OCTAIT,-1000
NOVAIT,-1000
DECAIT,-1000
JANAIU,-1000
FEBAIU,-1000
MARAIU,-1000
APRAIU,-1000
MAYAIU,-1000
JUNAIU,-1000
JULAIU,-1000
AUGAIU,-1000
SEPAIU,-1000
OCTAIU,-1000
NOVAIU,-1000
DECAIU,-1000
JANAJA,100
FEBAJA,100
MARAJA,100
APRAJA,100
MAYAJA,200
JUNAJA,200
JULAJA,200
AUGAJA,200
SEPAJA,200
OCTAJA,200
NOVAJA,100
DECAJA,100
JANAJF,300
FEBAJF,300
MARAJF,300
APRAJF,300
MAYAJF,300
JUNAJF,300
JULAJF,300
AUGAJF,300
SEPAJF,300
OCTAJF,300
NOVAJF,300
DECAJF,300
JANAJI,200
FEBAJI,200
MARAJI,200
APRAJI,300
MAYAJI,300
JUNAJI,300
JULAJI,300
AUGAJI,300
SEPAJI,300
OCTAJI,300
NOVAJI,200
DECAJI,200
JANAJL,530
FEBAJL,530
MARAJL,530
APRAJL,530
MAYAJL,530
JUNAJL,530
JULAJL,530
AUGAJL,530
SEPAJL,530
OCTAJL,530
NOVAJL,530
DECAJL,530
JANAJN,300
FEBAJN,300
MARAJN,300
APRAJN,300
MAYAJN,300
JUNAJN,300
JULAJN,300
AUGAJN,300
SEPAJN,300
OCTAJN,300
NOVAJN,300
DECAJN,300
JANAJR,200
FEBAJR,200
MARAJR,200
APRAJR,200
MAYAJR,200
JUNAJR,200
JULAJR,200
AUGAJR,200
SEPAJR,200
OCTAJR,200
NOVAJR,200
DECAJR,200
JANAJU,-300
FEBAJU,-300
MARAJU,-300
APRAJU,-300
MAYAJU,-300
JUNAJU,-300
JULAJU,-300
AUGAJU,-300
SEPAJU,-300
OCTAJU,-300
NOVAJU,-300
DECAJU,-300
JANAJY,100
FEBAJY,100
MARAJY,100
APRAJY,100
MAYAJY,100
JUNAJY,100
JULAJY,100
AUGAJY,100
SEPAJY,100
OCTAJY,100
NOVAJY,100
DECAJY,100
JANAKA,800
FEBAKA,800
MARAKA,800
APRAKA,800
MAYAKA,800
JUNAKA,800
JULAKA,800
AUGAKA,800
SEPAKA,800
OCTAKA,800
NOVAKA,800
DECAKA,800
JANAKB,-900
FEBAKB,-900
MARAKB,-900
APRAKB,-900
MAYAKB,-900
JUNAKB,-900
JULAKB,-900
AUGAKB,-900
SEPAKB,-900
OCTAKB,-900
NOVAKB,-900
DECAKB,-900
JANAKF,200
FEBAKF,200
MARAKF,200
APRAKF,200
MAYAKF,200
JUNAKF,200
JULAKF,200
AUGAKF,200
SEPAKF,200
OCTAKF,200
NOVAKF,200
DECAKF,200
JANAKG,1000
FEBAKG,1000
MARAKG,1000
APRAKG,1000
MAYAKG,1000
JUNAKG,1000
JULAKG,1000
AUGAKG,1000
SEPAKG,1000
OCTAKG,1000
NOVAKG,1000
DECAKG,1000
JANAKI,-800
FEBAKI,-800
MARAKI,-800
APRAKI,-800
MAYAKI,-800
JUNAKI,-800
JULAKI,-800
AUGAKI,-800
SEPAKI,-800
OCTAKI,-800
NOVAKI,-800
DECAKI,-800
JANAKJ,900
FEBAKJ,900
MARAKJ,900
APRAKJ,900
MAYAKJ,900
JUNAKJ,900
JULAKJ,900
AUGAKJ,900
SEPAKJ,900
OCTAKJ,900
NOVAKJ,900
DECAKJ,900
JANAKK,-800
FEBAKK,-800
MARAKK,-800
APRAKK,-800
MAYAKK,-800
JUNAKK,-800
JULAKK,-800
AUGAKK,-800
SEPAKK,-800
OCTAKK,-800
NOVAKK,-800
DECAKK,-800
JANAKL,1300
FEBAKL,1300
MARAKL,1300
APRAKL,1200
MAYAKL,1200
JUNAKL,1200
JULAKL,1200
AUGAKL,1200
SEPAKL,1200
OCTAKL,1300
NOVAKL,1300
DECAKL,1300
JANAKN,-900
FEBAKN,-900
MARAKN,-800
APRAKN,-800
MAYAKN,-800
JUNAKN,-800
JULAKN,-800
AUGAKN,-800
SEPAKN,-800
OCTAKN,-800
NOVAKN,-900
DECAKN,-900
JANAKP,-800
FEBAKP,-800
MARAKP,-800
APRAKP,-800
MAYAKP,-800
JUNAKP,-800
JULAKP,-800
AUGAKP,-800
SEPAKP,-800
OCTAKP,-800
NOVAKP,-800
DECAKP,-800
JANAKR,100
FEBAKR,100
MARAKR,100
APRAKR,100
MAYAKR,100
JUNAKR,100
JULAKR,100
AUGAKR,100
SEPAKR,100
OCTAKR,100
NOVAKR,100
DECAKR,100
JANAKS,1100
FEBAKS,1100
MARAKS,1100
APRAKS,1100
MAYAKS,1100
JUNAKS,1100
JULAKS,1100
AUGAKS,1100
SEPAKS,1100
OCTAKS,1100
NOVAKS,1100
DECAKS,1100
JANAKU,800
FEBAKU,800
MARAKU,800
APRAKU,800
MAYAKU,800
JUNAKU,800
JULAKU,800
AUGAKU,800
SEPAKU,800
OCTAKU,800
NOVAKU,800
DECAKU,800
JANAKV,-400
FEBAKV,-400
MARAKV,-400
APRAKV,-400
MAYAKV,-400
JUNAKV,-400
JULAKV,-400
AUGAKV,-400
SEPAKV,-400
OCTAKV,-400
NOVAKV,-400
DECAKV,-400
JANAKX,500
FEBAKX,500
MARAKX,500
APRAKX,500
MAYAKX,500
JUNAKX,500
JULAKX,500
AUGAKX,500
SEPAKX,500
OCTAKX,500
NOVAKX,500
DECAKX,500
JANAKY,630
FEBAKY,630
MARAKY,630
APRAKY,630
MAYAKY,630
JUNAKY,630
JULAKY,630
AUGAKY,630
SEPAKY,630
OCTAKY,630
NOVAKY,630
DECAKY,630
JANALA,600
FEBALA,600
MARALA,600
APRALA,600
MAYALA,600
JUNALA,600
JULALA,600
AUGALA,600
SEPALA,600
OCTALA,600
NOVALA,600
DECALA,600
JANALB,-500
FEBALB,-500
MARALB,-400
APRALB,-400
MAYALB,-400
JUNALB,-400
JULALB,-400
AUGALB,-400
SEPALB,-400
OCTALB,-400
NOVALB,-500
DECALB,-500
JANALC,100
FEBALC,100
MARALC,100
APRALC,200
MAYALC,200
JUNALC,200
JULALC,200
AUGALC,200
SEPALC,200
OCTALC,200
NOVALC,100
DECALC,100
JANALF,100
FEBALF,100
MARALF,100
APRALF,100
MAYALF,200
JUNALF,200
JULALF,200
AUGALF,200
SEPALF,200
OCTALF,200
NOVALF,100
DECALF,100
JANALG,100
FEBALG,100
MARALG,100
APRALG,100
MAYALG,100
JUNALG,100
JULALG,100
AUGALG,100
SEPALG,100
OCTALG,100
NOVALG,100
DECALG,100
JANALH,800
FEBALH,800
MARALH,800
APRALH,800
MAYALH,800
JUNALH,800
JULALH,800
AUGALH,800
SEPALH,800
OCTALH,800
NOVALH,800
DECALH,800
JANALL,200
